timestamp,timestamp_horario_utc,timestamp_horario_utc_diff,Avancado 1S2,Recuado 1S1,V1 12,V1 14,Inicia,Para
1757031336430,2025-09-05 00:15:36.430,116.0,0,1,1,0,0,1
1757031336554,2025-09-05 00:15:36.554,124.0,0,1,1,0,0,1
1757031336669,2025-09-05 00:15:36.669,115.0,0,1,1,0,0,1
1757031336784,2025-09-05 00:15:36.784,115.0,0,1,1,0,0,1
1757031336908,2025-09-05 00:15:36.908,124.0,0,1,1,0,0,1
1757031337023,2025-09-05 00:15:37.023,115.0,0,1,1,0,0,1
1757031337137,2025-09-05 00:15:37.137,114.0,0,1,1,0,0,1
1757031337263,2025-09-05 00:15:37.263,126.0,0,1,1,0,0,1
1757031337377,2025-09-05 00:15:37.377,114.0,0,0,0,1,0,1
1757031337502,2025-09-05 00:15:37.502,125.0,0,0,0,1,0,1
1757031337617,2025-09-05 00:15:37.617,115.0,0,0,0,1,0,1
1757031337731,2025-09-05 00:15:37.731,114.0,1,0,0,1,0,1
1757031337856,2025-09-05 00:15:37.856,125.0,1,0,0,1,0,1
1757031337970,2025-09-05 00:15:37.970,114.0,1,0,0,1,0,1
1757031338085,2025-09-05 00:15:38.085,115.0,1,0,0,1,0,1
1757031338210,2025-09-05 00:15:38.210,125.0,1,0,0,1,0,1
1757031338324,2025-09-05 00:15:38.324,114.0,1,0,0,1,0,1
1757031338441,2025-09-05 00:15:38.441,117.0,1,0,0,1,0,1
1757031338564,2025-09-05 00:15:38.564,123.0,1,0,0,1,0,1
1757031338679,2025-09-05 00:15:38.679,115.0,1,0,1,0,0,1
1757031338804,2025-09-05 00:15:38.804,125.0,0,0,1,0,0,1
1757031338918,2025-09-05 00:15:38.918,114.0,0,0,1,0,0,1
1757031339033,2025-09-05 00:15:39.033,115.0,0,0,1,0,0,1
1757031339159,2025-09-05 00:15:39.159,126.0,0,1,1,0,0,1
1757031339272,2025-09-05 00:15:39.272,113.0,0,1,1,0,0,1
1757031339386,2025-09-05 00:15:39.386,114.0,0,1,1,0,0,1
1757031339529,2025-09-05 00:15:39.529,143.0,0,1,1,0,0,1
1757031339733,2025-09-05 00:15:39.733,204.0,0,1,1,0,0,1
1757031339819,2025-09-05 00:15:39.819,86.0,0,1,1,0,0,1
1757031339964,2025-09-05 00:15:39.964,145.0,0,1,1,0,0,1
1757031340054,2025-09-05 00:15:40.054,90.0,0,1,1,0,0,1
1757031340118,2025-09-05 00:15:40.118,64.0,0,1,1,1,0,1
1757031340206,2025-09-05 00:15:40.206,88.0,0,0,0,1,0,1
1757031340319,2025-09-05 00:15:40.319,113.0,0,0,0,1,0,1
1757031340433,2025-09-05 00:15:40.433,114.0,0,0,0,1,0,1
1757031340533,2025-09-05 00:15:40.533,100.0,1,0,0,1,0,1
1757031340657,2025-09-05 00:15:40.657,124.0,1,0,0,1,0,1
1757031340772,2025-09-05 00:15:40.772,115.0,1,0,0,1,0,1
1757031340887,2025-09-05 00:15:40.887,115.0,1,0,0,1,0,1
1757031341013,2025-09-05 00:15:41.013,126.0,1,0,0,1,0,1
1757031341126,2025-09-05 00:15:41.126,113.0,1,0,0,1,0,1
1757031341252,2025-09-05 00:15:41.252,126.0,1,0,0,1,0,1
1757031341367,2025-09-05 00:15:41.367,115.0,1,0,0,1,0,1
1757031341481,2025-09-05 00:15:41.481,114.0,1,0,1,0,0,1
1757031341605,2025-09-05 00:15:41.605,124.0,0,0,1,0,0,1
1757031341731,2025-09-05 00:15:41.731,126.0,0,0,1,0,0,1
1757031341835,2025-09-05 00:15:41.835,104.0,0,0,1,0,0,1
1757031341961,2025-09-05 00:15:41.961,126.0,0,1,1,0,0,1
1757031342076,2025-09-05 00:15:42.076,115.0,0,1,1,0,0,1
1757031342190,2025-09-05 00:15:42.190,114.0,0,1,1,0,0,1
1757031342315,2025-09-05 00:15:42.315,125.0,0,1,1,0,0,1
1757031342429,2025-09-05 00:15:42.429,114.0,0,1,1,0,0,1
1757031342554,2025-09-05 00:15:42.554,125.0,0,1,1,0,0,1
1757031342670,2025-09-05 00:15:42.670,116.0,0,1,1,0,0,1
1757031342783,2025-09-05 00:15:42.783,113.0,0,1,1,0,0,1
1757031342908,2025-09-05 00:15:42.908,125.0,0,1,1,1,0,1
1757031343022,2025-09-05 00:15:43.022,114.0,0,0,0,1,0,1
1757031343137,2025-09-05 00:15:43.137,115.0,0,0,0,1,0,1
1757031343264,2025-09-05 00:15:43.264,127.0,0,0,0,1,0,1
1757031343378,2025-09-05 00:15:43.378,114.0,1,0,0,1,0,1
1757031343502,2025-09-05 00:15:43.502,124.0,1,0,0,1,0,1
1757031343616,2025-09-05 00:15:43.616,114.0,1,0,0,1,0,1
1757031343732,2025-09-05 00:15:43.732,116.0,1,0,0,1,0,1
1757031343857,2025-09-05 00:15:43.857,125.0,1,0,0,1,0,1
1757031343970,2025-09-05 00:15:43.970,113.0,1,0,0,1,0,1
1757031344085,2025-09-05 00:15:44.085,115.0,1,0,0,1,0,1
1757031344210,2025-09-05 00:15:44.210,125.0,1,0,0,1,0,1
1757031344326,2025-09-05 00:15:44.326,116.0,1,0,1,0,0,1
1757031344439,2025-09-05 00:15:44.439,113.0,0,0,1,0,0,1
1757031344564,2025-09-05 00:15:44.564,125.0,0,0,1,0,0,1
1757031344679,2025-09-05 00:15:44.679,115.0,0,0,1,0,0,1
1757031344804,2025-09-05 00:15:44.804,125.0,0,1,1,0,0,1
